,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLAAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Multiclass,,,,,,,,,,,,,,,,,,Pairwise,,,,,,,,,,,,,,,,Pairwise finetuned from Multiclass,
objective,multiclass,,,,,,,,,,,,,,,,,,probability (BCE),,,,,,,,,,,,,,,cosine (margin),cosine (margin),probability (BCE)
name,FF (R=1),,,FF - xlsr finetuned (R=1),,,FF - e10 (R=1),,,FF - e13 (R=1),,,FF (R=5),,,FF xlsr finetuned (R=5),,,"FFCosine (scratch, intermediate)",,,"FFCosine (finetune, rival from intermediate)",,,"FFCosine (finetune + xlsr, rival from intermediate)",,,"FFCosine (finetune, harmined from intermediate)",,,"FFCosine (finetune, directional from intermediate)",,,FFCosineRaw,FFCosineRaw2 (pairwise finetuned FF),FFCosine1 (pairwise finetuned FF)
seed,42,123,222,42,123,222,42,123,222,42,123,222,42,123,222,42,123,222,42,123,222,42,123,222,42,123,222,42,123,222,42,123,222,42,42,42
EER (%),8.90,8.32,8.62,8.30,8.19,7.48,6.35,6.88,7.91,9.68,7.69,9.16,5.92,6.04,6.04,5.21,5.70,5.67,12.40,17.24,15.12,12.02,15.89,14.75,9.18,13.54,14.45,13.09,17.02,15.06,13.1,17.03,15.22,18.3,25.33,17.34
EER 95% CI,"[8.80%, 9.01%]","[8.21%, 8.42%]","[8.49%, 8.76%]","[8.20%, 8.42%]","[8.08%, 8.29%]","[7.34%, 7.58%]","[6.26%, 6.44%]","[6.77%, 6.98%]","[7.78%, 8.05%]","[9.47%, 9.87%]","[7.55%, 7.80%]","[8.99%, 9.36%]","[5.82%, 6.02%]","[5.94%, 6.13%]","[5.93%, 6.14%]","[5.11%, 5.30%]","[5.60%, 5.79%]","[5.56%, 5.77%]","[12.20%, 12.59%]","[17.03%, 17.49%]","[14.85%, 15.36%]","[11.84%, 12.19%]","[15.68%, 16.11%]","[14.51%, 14.97%]","[9.07%, 9.31%]","[13.32%, 13.73%]","[14.20%, 14.67%]","[12.89%, 13.33%]","[16.79%, 17.24%]","[14.80%, 15.31%]","[12.89%, 13.32%]","[16.82%, 17.27%]","[14.97%, 15.44%]","[18.07%, 18.52%]","[25.08%, 25.56%]","[17.12%, 17.52%]"
minDCF,0.0834,0.0793,0.0858,0.0796,0.0791,0.0743,0.0607,0.0658,0.0780,0.0943,0.0750,0.0911,0.0568,0.0581,0.0581,0.0489,0.0549,0.0556,0.1223,0.1689,0.1440,0.1195,0.1586,0.1419,0.0900,0.1351,0.1382,0.1278,0.1689,0.1457,0.1277,0.1685,0.1459,0.1818,0.2517,0.1724
minDCF - forensics,0.0088,0.0085,0.0097,0.0084,0.0084,0.0093,0.0082,0.008433,0.0082,0.0084,0.0086,0.0080,,,,,,,0.0099,0.0100,0.0099,0.0096,0.0099,0.0097,0.0098,0.0100,0.0100,0.0100,0.0100,0.0098,0.0100,0.0100,0.0099,,,
TPR@FPR 0.01%,8.36,3.27,1.62,10.54,3.92,2.03,7.00,9.7800,3.69,8.96,3.54,10.19,6.63,7.02,6.80,7.09,6.73,3.18,1.92,1.22,1.58,2.98,1.71,2.29,2.08,0.88,1.27,1.6,1.29,1.84,1.57,1.27,1.7,0.23,4.06,1.88
TPR@FPR 0.1%,21.57,23.32,12.99,25.31,25,15.19,27.50,25.40,27.46,25.36,23.59,29.12,25.21,25.64,25.44,29.27,23.59,22.01,10.64,6.10,10.16,13.04,7.44,11.46,11.71,9.98,9.24,9.51,6.6,10.73,9.37,6.17,10.42,2.23,10.2,8.27
TPR@FPR 1%,50.11,51.00,48.72,54.59,52.07,53.55,64.77,58.85,56.00,59.43,59.11,62.62,64.43,66.19,66.16,67.59,64.87,68.55,47.52,26.29,39.59,47.72,27.14,40.17,52.83,43.03,45.49,44.84,25.47,40.66,43.53,24,39.73,17.33,25.48,29.55
TPR@FPR 5%,78.94,80.25,83.92,81.63,82.13,88.36,90.59,89.60,87.25,85.19,88.02,85.47,92.43,91.98,91.98,94.42,93.06,93.16,77.57,62.31,71.67,77.18,61.87,71.84,81.97,72.92,75.14,76.24,58.96,70.61,75.91,58.56,70.5,53.42,45.07,57.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Multiclass,,,,,,,,,,,,,,,,,,Pairwise,,,,,,,,,,,,,,,,Pairwise finetuned from Multiclass,
objective,multiclass,,,,,,,,,,,,,,,,,,probability (BCE),,,,,,,,,,,,,,,cosine (margin),cosine (margin),probability (BCE)
name,FF (R=1),,,FF - xlsr finetuned (R=1),,,FF - e10 (R=1),,,FF - e13 (R=1),,,FF (R=5),,,FF xlsr finetuned (R=5),,,"FFCosine (scratch, intermediate)",,,"FFCosine (finetune, rival from intermediate)",,,"FFCosine (finetune + xlsr, rival from intermediate)",,,"FFCosine (finetune, harmined from intermediate)",,,"FFCosine (finetune, directional from intermediate)",,,FFCosineRaw,FFCosineRaw2 (pairwise finetuned FF),FFCosine1 (pairwise finetuned FF)
seed,42,123,222,42,123,222,42,123,222,42,123,222,42,123,222,42,123,222,42,123,222,42,123,222,42,123,222,42,123,222,42,123,222,42,42,42
EER (%),34.40,28.31,29.72,33.84,28.42,30.04,31.93,32.30,30.67,27.88,22.53,32.81,,,,,,,28.49,31.22,28.90,28.40,31.03,28.71,27.55,29.79,28.09,29.16,32.84,28.97,29.07,32.79,29.08,31.02,33.99,31.17
EER 95% CI,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,
minDCF,0.3343,0.2582,0.2785,0.3317,0.2588,0.2816,0.2949,0.3140,0.3065,0.2578,0.2070,0.2935,,,,,,,0.2790,0.3112,0.2879,0.2783,0.3101,0.2871,0.2566,0.2917,0.2791,0.2909,0.3217,0.2882,0.2901,0.3213,0.2893,0.3048,0.3360,0.2931
minDCF - forensics,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,,,,,,,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,,,
TPR@FPR 0.01%,0.26,0.06,0.15,0.25,0.07,0.16,0.06,0.07,0.06,0.06,0.08,0.06,,,,,,,0.10,0.18,0.10,0.10,0.20,0.12,0.12,0.23,0.12,0.09,0.18,0.1,0.09,0.17,0.1,0.04,0.12,0.08
TPR@FPR 0.1%,1.68,0.61,1.25,1.66,0.65,1.45,0.66,0.44,0.53,0.65,0.69,0.43,,,,,,,0.79,1.08,0.91,0.81,1.15,1.00,0.99,1.25,0.93,0.7,1.06,0.9,0.71,1.03,0.88,0.35,0.85,0.51
TPR@FPR 1%,9.17,4.93,7.77,9.62,4.93,8.95,4.18,3.37,4.68,6.21,5.46,3.75,,,,,,,6.58,6.43,7.44,6.79,6.29,7.56,6.98,6.69,7.08,6.28,6.24,7.53,6.25,6.12,7.49,3.43,5.24,3.51
TPR@FPR 5%,26.69,17.38,21.72,26.88,17.12,23.82,14.79,14.14,18.20,22.77,24.01,15.77,,,,,,,25.07,22.09,27.87,26.05,20.64,27.42,23.87,20.78,26.19,25.73,21.41,28.09,25.8,21.25,27.98,16.05,17.36,13.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
